 ['Tobe Nwosu', '463', '40.14'],
 ['Daniel Snitkovsky', '464', '40.15'],
 ['Asher Maurice', '465', '40.21'],
 ['yasser Yasser', '466', '40.23'],
 ['Calvin Li', '467', '40.25'],
 ['Dean Hamid', '468', '40.26'],
 ['Oliver Cannings', '469', '40.44'],
 ['Jackson Shirey', '470', '40.46'],
 ['Flexx Faildo', '471', '40.50'],
 ['Trey Chesney', '472', '40.52'],
 ['Nathan Hu', '473', '40.57'],
 ['Ryan Brown', '474', '40.58'],
 ['Grayson Bloes', '474', '40.58'],
 ['Mahmoud Morsy', '476', '40.59'],
 ['Aaron Williams', '477', '40.63'],
 ['Anton Beregovoi', '478', '40.68'],
 ['Mitchell Robinson', '479', '40.69'],
 ['Carson Hoak', '480', '40.74'],
 ['Kobe Dickheiser', '481', '40.75'],
 ['Yuriel Lee', '482', '40.78'],
 ['Luke Luo', '483', '40.81'],
 ['Jeremiah Carnegie', '483', '40.81'],
 ['Connor Hupman', '485', '40.83'],
 ['Dom Faenza', '486', '40.84'],
 ['Marcus Tomola', '487', '40.87'],
 ['Aiden O&#x27;Shea', '488', '40.88'],
 ['Cal Farrell', '489', '40.91'],
 ['Ethan Pasholk', '489', '40.91'],
 ['Ben Yu', '491', '40.92'],
 ['Lincoln Bellgraph', '491', '40.92'],
 ['Sam Gao', '493', '40.94'],
 ['Hudson Dennis', '494', '40.96'],
 ['Matthew Schleicher', '494', '40.96'],
 ['Jack Miceli', '496', '41.01'],
 ['John Sommers', '497', '41.09'],
 ['Banks Anderson', '497', '41.09'],
 ['Aaron Euker', '499', '41.10'],
 ['Jared Berke', '500', '41.12'],
 ['Julian Adu', '501', '41.13'],
 ['Bodi Bone', '502', '41.18'],
 ['Brandon Pon', '503', '41.19'],
 ['Marwan Alasil', '504', '41.22'],
 ['Bryce Debowsky', '505', '41.23'],
 ['Aidan Huffman', '506', '41.24'],
 ['John Luisetti', '507', '41.29'],
 ['Matthew Char', '508', '41.31'],
 ['Neil Wargin', '509', '41.32'],
 ['Leo Mayzel', '510', '41.40'],
 ['Cole Carnazzo', '511', '41.46'],
 ['James Traverse', '512', '41.48'],
 ['Jett Sloan', '513', '41.49'],
 ['Hunter Haberman', '514', '41.56'],
 ['Oliver Ritchey', '515', '41.58'],
 ['Matthew Itkins', '516', '41.61'],
 ['Cam Hellar', '517', '41.62'],
 ['Dominick Narduzzi', '518', '41.64'],
 ['Carter Murphy', '519', '41.69'],
 ['Josh Song', '520', '41.75'],
 ['Cullen Harrington', '520', '41.75'],
 ['Jeremiah Rhee', '522', '41.76'],
 ['Michael Purcell', '522', '41.76'],
 ['Chase Emerson', '524', '41.78'],
 ['Frederick Anderson', '525', '41.80'],
 ['Ethan Bowman', '526', '41.82'],
 ['Alen Cindric', '527', '41.83'],
 ['Ewan Cain', '528', '41.84'],
 ['Andrew Blauer', '529', '41.85'],
 ['Isaac Skillern', '529', '41.85'],
 ['Charlie Cali', '531', '41.86'],
 ['Mathias Pickett', '531', '41.86'],
 ['Garrett Price', '533', '41.90'],
 ['Max Kelty', '534', '41.93'],
 ['Sam Kieffer', '535', '42.00'],
 ['Ryan P Huang', '536', '42.01'],
 ['Porter Ellsworth', '537', '42.02'],
 ['Borui Jiang', '538', '42.03'],
 ['Elijah Peng', '538', '42.03'],
 ['Frank Liu', '540', '42.06'],
 ['Nate Schouten', '541', '42.07'],
 ['Jack Arnold', '542', '42.12'],
 ['Preston Chan', '543', '42.14'],
 ['Ryan VanDyke', '544', '42.28'],
 ['Jake Schroeder', '545', '42.29'],
 ['Simon Farias', '545', '42.29'],
 ['Dylan Belair', '547', '42.32'],
 ['Kevin Son', '548', '42.33'],
 ['Henry Long', '549', '42.38'],
 ['Roger Henson', '550', '42.50'],
 ['Metehan Yilmaz', '551', '42.52'],
 ['Joey Rojek', '552', '42.53'],
 ['Levi Fulwiler', '553', '42.54'],
 ['Will McWard', '554', '42.59'],
 ['Beau Joens', '555', '42.60'],
 ['Caleb Purtee', '556', '42.66'],
 ['Adam Polak', '556', '42.66'],
